openai	[your-namespace]/openai/api_key	OPENAI_API_KEY
anthropic	[your-namespace]/anthropic/api_key	ANTHROPIC_API_KEY
gemini	[your-namespace]/gemini/api_key	GEMINI_API_KEY
github	[your-namespace]/github/token	GITHUB_TOKEN
cloudflare	[your-namespace]/cloudflare/token	CLOUDFLARE_API_TOKEN
kimi	[your-namespace]/kimi/api_key	KIMI_API_KEY
deepseek	[your-namespace]/deepseek/api_key	DEEPSEEK_API_KEY
minimax	[your-namespace]/minimax/api_key	MINIMAX_API_KEY
qwen	[your-namespace]/qwen/api_key	QWEN_API_KEY
glm	[your-namespace]/glm/api_key	GLM_API_KEY
openrouter	[your-namespace]/openrouter/api_key	OPENROUTER_API_KEY
xai	[your-namespace]/xai/api_key	XAI_API_KEY
groq	[your-namespace]/groq/api_key	GROQ_API_KEY
mistral	[your-namespace]/mistral/api_key	MISTRAL_API_KEY
perplexity	[your-namespace]/perplexity/api_key	PERPLEXITY_API_KEY
together	[your-namespace]/together/api_key	TOGETHER_API_KEY
cohere	[your-namespace]/cohere/api_key	COHERE_API_KEY
huggingface	[your-namespace]/huggingface/token	HUGGINGFACE_TOKEN
voyage	[your-namespace]/voyage/api_key	VOYAGE_API_KEY
jina	[your-namespace]/jina/api_key	JINA_API_KEY
replicate	[your-namespace]/replicate/api_token	REPLICATE_API_TOKEN
fal	[your-namespace]/fal/api_key	FAL_API_KEY
stability	[your-namespace]/stability/api_key	STABILITY_API_KEY
elevenlabs	[your-namespace]/elevenlabs/api_key	ELEVENLABS_API_KEY
tavily	[your-namespace]/tavily/api_key	TAVILY_API_KEY
exa	[your-namespace]/exa/api_key	EXA_API_KEY
serper	[your-namespace]/serper/api_key	SERPER_API_KEY
firecrawl	[your-namespace]/firecrawl/api_key	FIRECRAWL_API_KEY
brave	[your-namespace]/brave/api_key	BRAVE_API_KEY
siliconflow	[your-namespace]/siliconflow/api_key	SILICONFLOW_API_KEY
volcengine_ark	[your-namespace]/volcengine_ark/api_key	VOLCENGINE_ARK_API_KEY
